,sample,herv_or_clade,cpm1,cpm2,color_column
276,AMS2,Clade_2,5.96916816621729,5.118633157773981,AMS2
277,AMS2,Clade_2610,-1.5523528253174466,-2.5305831620466526,AMS2
278,AMS2,Clade_1763,-inf,-inf,AMS2
279,AMS2,Clade_1853,3.542929942839094,1.361237136063975,AMS2
280,AMS2,Clade_1983,-inf,-inf,AMS2
281,AMS2,Clade_2106,-0.992737037382024,-inf,AMS2
282,AMS2,ERV_4362026,-inf,-inf,AMS2
283,AMS2,ERV_3108417,-0.33595750099295346,-inf,AMS2
284,AMS2,Clade_637,-2.9386471864373385,-2.5305831620466526,AMS2
285,AMS2,Clade_424,-inf,-inf,AMS2
286,AMS2,Clade_1141,-inf,-inf,AMS2
287,AMS2,Clade_1958,-2.9386471864373385,-inf,AMS2
288,AMS2,ERV_2618599,-inf,-inf,AMS2
289,AMS2,ERV_4375214,-inf,-inf,AMS2
290,AMS2,Clade_418,0.9633254831373074,-2.5305831620466526,AMS2
291,AMS2,ERV_1879967,-inf,-inf,AMS2
292,AMS2,ERV_4437551,-inf,-inf,AMS2
293,AMS2,Clade_1308,-inf,-inf,AMS2
294,AMS2,ERV_4421240,-inf,-inf,AMS2
295,AMS2,ERV_1881949,-inf,-inf,AMS2
296,AMS2,ERV_2927403,-inf,-inf,AMS2
297,AMS2,ERV_4447491,-inf,-inf,AMS2
298,AMS2,ERV_3088993,-0.49630015106813274,-inf,AMS2
299,AMS2,ERV_3256518,-2.022356454563182,-2.5305831620466526,AMS2
300,AMS2,Clade_2506,-inf,-inf,AMS2
301,AMS2,Clade_2314,-inf,-inf,AMS2
302,AMS2,Clade_2797,-1.5523528253174466,-1.8374359814867067,AMS2
303,AMS2,Clade_1703,-inf,-inf,AMS2
304,AMS2,ERV_1147395,-inf,-inf,AMS2
305,AMS2,Clade_1972,-inf,-inf,AMS2
306,AMS2,Clade_1775,-inf,-inf,AMS2
307,AMS2,ERV_4445149,-inf,-inf,AMS2
308,AMS2,Clade_1509,-inf,-inf,AMS2
309,AMS2,ERV_4445677,-inf,-inf,AMS2
310,AMS2,Clade_1735,-2.9386471864373385,-inf,AMS2
311,AMS2,ERV_3987086,-inf,-inf,AMS2
312,AMS2,ERV_3516970,-inf,-inf,AMS2
313,AMS2,ERV_2262272,-inf,-inf,AMS2
314,AMS2,ERV_1322425,-inf,-inf,AMS2
315,AMS2,Clade_2380,-inf,-inf,AMS2
316,AMS2,Clade_2111,-inf,-inf,AMS2
317,AMS2,ERV_3825212,-inf,-inf,AMS2
318,AMS2,ERV_3237544,-inf,-inf,AMS2
319,AMS2,Clade_348,-inf,-inf,AMS2
320,AMS2,Clade_2535,2.145857956225374,0.359788595849513,AMS2
321,AMS2,ERV_2195083,-2.9386471864373385,-inf,AMS2
322,AMS2,ERV_2387002,-inf,-inf,AMS2
323,AMS2,ERV_3587617,-1.1468877172092824,-inf,AMS2
324,AMS2,ERV_1819438,-1.4345697896610632,-2.5305831620466526,AMS2
325,AMS2,Clade_2246,-inf,-inf,AMS2
326,AMS2,ERV_1822255,-inf,-inf,AMS2
327,AMS2,Clade_1650,2.930649726696437,1.82612566464294,AMS2
328,AMS2,Clade_1128,-inf,-inf,AMS2
329,AMS2,Clade_2745,-inf,-inf,AMS2
330,AMS2,ERV_3383957,-inf,-inf,AMS2
331,AMS2,Clade_158,-2.9386471864373385,-inf,AMS2
332,AMS2,Clade_1332,-0.8592056447575013,-1.144288800926761,AMS2
333,AMS2,ERV_3297335,-inf,-inf,AMS2
334,AMS2,Clade_2297,-inf,-inf,AMS2
335,AMS2,ERV_1508728,-0.5872719292738595,-2.5305831620466526,AMS2
336,AMS2,Clade_827,-inf,-inf,AMS2
337,AMS2,Clade_1494,-0.45374053664933683,-2.5305831620466526,AMS2
338,AMS2,ERV_2005073,-1.4345697896610632,-inf,AMS2
339,AMS2,ERV_2862989,1.3310502632626247,2.4110592605626526,AMS2
340,AMS2,Clade_2262,-2.533182078329173,-inf,AMS2
341,AMS2,ERV_1330344,-inf,-inf,AMS2
342,AMS2,Clade_2827,-2.022356454563182,-inf,AMS2
343,AMS2,Clade_59,-3.631794366997284,-inf,AMS2
344,AMS2,ERV_3628902,-inf,-inf,AMS2
345,AMS2,Clade_2622,-inf,-inf,AMS2
346,AMS2,Clade_566,3.6700279751406497,1.6590715799797737,AMS2
347,AMS2,Clade_447,-2.245500005877392,-2.5305831620466526,AMS2
348,AMS2,ERV_4360216,-2.9386471864373385,-inf,AMS2
349,AMS2,ERV_4431218,-inf,-inf,AMS2
350,AMS2,Clade_2167,-inf,-inf,AMS2
351,AMS2,Clade_2139,-inf,-inf,AMS2
352,AMS2,ERV_3921952,-inf,-inf,AMS2
353,AMS2,ERV_1763741,-inf,-inf,AMS2
354,AMS2,Clade_2810,-inf,-inf,AMS2
355,AMS2,ERV_1713979,-inf,-inf,AMS2
356,AMS2,Clade_1413,-inf,-inf,AMS2
357,AMS2,Clade_2548,0.005791792729103319,-2.5305831620466526,AMS2
358,AMS2,Clade_518,0.6856937465390278,-1.4319708733785421,AMS2
359,AMS2,Clade_2963,-inf,-inf,AMS2
360,AMS2,ERV_2650663,-inf,-inf,AMS2
361,AMS2,Clade_736,1.9666275920010923,-0.4511416203668157,AMS2
362,AMS2,Clade_821,-1.8400348977692276,-inf,AMS2
363,AMS2,ERV_4444429,-3.631794366997284,-inf,AMS2
364,AMS2,Clade_1346,-inf,-inf,AMS2
365,AMS2,ERV_4369299,-1.8400348977692276,-inf,AMS2
366,AMS2,Clade_1130,0.23940664391060865,-1.8374359814867067,AMS2
367,AMS2,ERV_3022023,-inf,-inf,AMS2
368,AMS2,Clade_33,-inf,-inf,AMS2
369,AMS2,ERV_2857390,0.08177769970702518,-inf,AMS2
370,AMS2,Clade_1780,3.73338575902373,1.6125515643448811,AMS2
371,AMS2,ERV_2570523,-inf,-inf,AMS2
372,AMS2,Clade_253,5.839062409357911,4.980394589967443,AMS2
373,AMS2,Clade_1913,-0.49630015106813274,-inf,AMS2
374,AMS2,ERV_4333705,-inf,-inf,AMS2
375,AMS2,Clade_1980,-2.533182078329173,-inf,AMS2
376,AMS2,ERV_3972463,-inf,-inf,AMS2
377,AMS2,ERV_4373230,-inf,-inf,AMS2
378,AMS2,Clade_3004,0.1523952669209788,-1.8374359814867067,AMS2
379,AMS2,ERV_2641953,-inf,-inf,AMS2
380,AMS2,ERV_3714808,-inf,-inf,AMS2
381,AMS2,ERV_3429149,-inf,-inf,AMS2
382,AMS2,Clade_579,1.748102986543177,-0.9211452496125512,AMS2
383,AMS2,Clade_835,-2.533182078329173,-2.5305831620466526,AMS2
384,AMS2,Clade_78,-inf,-inf,AMS2
385,AMS2,ERV_2677626,-inf,-inf,AMS2
386,AMS2,ERV_1910503,-inf,-inf,AMS2
387,AMS2,ERV_1418097,-2.9386471864373385,-inf,AMS2
388,AMS2,ERV_1230865,-inf,-inf,AMS2
389,AMS2,ERV_1871227,-1.4345697896610632,-2.5305831620466526,AMS2
390,AMS2,Clade_2191,0.7990224318460311,-1.144288800926761,AMS2
391,AMS2,ERV_4360925,-inf,-inf,AMS2
392,AMS2,ERV_2926306,-inf,-inf,AMS2
393,AMS2,Clade_2109,-inf,-inf,AMS2
394,AMS2,Clade_1555,2.6123725336664534,-0.2279980690526059,AMS2
395,AMS2,ERV_2818823,-inf,-inf,AMS2
396,AMS2,Clade_2922,-2.9386471864373385,-inf,AMS2
397,AMS2,ERV_2711852,-inf,-inf,AMS2
398,AMS2,ERV_1050009,-inf,-inf,AMS2
399,AMS2,ERV_3806034,-inf,-inf,AMS2
400,AMS2,ERV_2431376,-inf,-inf,AMS2
401,AMS2,ERV_1222667,-inf,-inf,AMS2
402,AMS2,ERV_4151528,-1.8400348977692276,-inf,AMS2
403,AMS2,Clade_1559,1.8530025664933727,-inf,AMS2
404,AMS2,Clade_1541,-0.23059698533512712,-inf,AMS2
405,AMS2,Clade_1455,2.098305415976292,-0.13268788924828107,AMS2
406,AMS2,ERV_2064422,-inf,-inf,AMS2
407,AMS2,ERV_2876769,-0.23059698533512712,-inf,AMS2
408,AMS2,ERV_4425426,-inf,-inf,AMS2
409,AMS2,ERV_3926093,-2.9386471864373385,-0.3333585847104323,AMS2
410,AMS2,Clade_1015,3.3630556188357885,2.3966705231105534,AMS2
411,AMS2,ERV_4391200,-inf,-inf,AMS2
412,AMS2,Clade_2533,-1.8400348977692276,-0.5846730129913383,AMS2
413,AMS2,Clade_68,-inf,-inf,AMS2
414,AMS2,ERV_3366549,-inf,-inf,AMS2
415,AMS2,Clade_2969,-2.9386471864373385,-inf,AMS2
