,sample,herv_or_clade,cpm1,cpm2,color_column
18910,SMS2,ERV_3647736,-inf,-inf,SMS2
18911,SMS2,ERV_1778833,-1.774466978900447,-inf,SMS2
18912,SMS2,ERV_3257836,-inf,-inf,SMS2
18913,SMS2,ERV_3432391,-inf,-inf,SMS2
18914,SMS2,ERV_2897467,-inf,-inf,SMS2
18915,SMS2,ERV_1961082,-inf,-inf,SMS2
18916,SMS2,ERV_1488082,1.4271173488576934,-0.32803315611091904,SMS2
18917,SMS2,ERV_1532606,-3.027229947395816,-inf,SMS2
18918,SMS2,ERV_2173129,-2.6217648392876503,-inf,SMS2
18919,SMS2,ERV_1822255,-inf,-inf,SMS2
18920,SMS2,ERV_3126159,-inf,-inf,SMS2
18921,SMS2,ERV_1394021,1.9933556775536092,-inf,SMS2
18922,SMS2,ERV_1333046,-2.33408276683587,-inf,SMS2
18923,SMS2,ERV_4368604,-3.027229947395816,-inf,SMS2
18924,SMS2,ERV_1293818,-1.6409355862759238,-inf,SMS2
18925,SMS2,ERV_4389793,-inf,-inf,SMS2
18926,SMS2,ERV_2378921,-inf,-inf,SMS2
18927,SMS2,ERV_1434576,-inf,-inf,SMS2
18928,SMS2,ERV_3383957,-2.33408276683587,-inf,SMS2
18929,SMS2,ERV_4363033,-inf,-inf,SMS2
18930,SMS2,ERV_1394020,2.0634480543739775,-2.72592842890929,SMS2
18931,SMS2,ERV_1577876,0.1297704737542989,-inf,SMS2
18932,SMS2,ERV_4432583,-inf,-inf,SMS2
18933,SMS2,ERV_3297335,-inf,-inf,SMS2
18934,SMS2,ERV_1508728,1.2768351458083553,-2.72592842890929,SMS2
18935,SMS2,ERV_2005073,0.24991478559636177,-inf,SMS2
18936,SMS2,ERV_2862989,3.168195331609603,2.2780178770361696,SMS2
18937,SMS2,ERV_3052584,-3.027229947395816,-inf,SMS2
18938,SMS2,ERV_1517684,-inf,-inf,SMS2
18939,SMS2,ERV_4326325,-inf,-inf,SMS2
18940,SMS2,ERV_2911404,-3.027229947395816,-inf,SMS2
18941,SMS2,ERV_1330344,-inf,-inf,SMS2
18942,SMS2,ERV_3887197,-inf,-inf,SMS2
18943,SMS2,ERV_1148485,-inf,-inf,SMS2
18944,SMS2,ERV_4309351,-inf,-inf,SMS2
18945,SMS2,ERV_3256774,-0.8300053700595951,-inf,SMS2
