,Method,FPR
623,TELEscope,6.384000163430405e-07
624,TELEscope,9.028724476525499e-06
625,TELEscope,4.012786561980362e-06
626,TELEscope,0.002164316613593907
627,TELEscope,1.1855993815913625e-06
628,TELEscope,0.00019704449667759817
629,TELEscope,1.824000878438823e-07
630,TELEscope,9.120005223938992e-08
631,TELEscope,3.5567897109187243e-06
632,TELEscope,1.0943995289704427e-06
633,TELEscope,3.6296306631928e-05
634,TELEscope,1.824000878438823e-07
635,TELEscope,4.559982234309215e-06
636,TELEscope,2.1157966380173818e-05
637,TELEscope,4.286384473000885e-06
638,TELEscope,1.1947065198873948e-05
639,TELEscope,0.002164316613593907
640,TELEscope,7.295951613248901e-06
641,TELEscope,0.00011435179810907356
642,TELEscope,1.5047783552681379e-05
643,TELEscope,9.120005223938992e-08
644,TELEscope,4.560000948480197e-07
645,TELEscope,3.6480010914819266e-07
646,TELEscope,1.824000878438823e-07
647,TELEscope,8.116739507563799e-06
648,TELEscope,7.113554120421345e-06
649,TELEscope,0.00010295426769605128
650,TELEscope,1.3497426779423684e-05
651,TELEscope,0.0016633625216171573
652,TELEscope,0.0001384225284762406
653,TELEscope,0.0
654,TELEscope,7.113554120421345e-06
655,TELEscope,6.748758935151631e-06
656,TELEscope,0.00011435179810907356
657,TELEscope,5.1983764284819225e-06
658,TELEscope,4.560000948480197e-07
659,TELEscope,0.0019942993493292324
660,TELEscope,0.0
661,TELEscope,0.00015620130107568258
662,TELEscope,5.380774619962272e-06
663,TELEscope,2.736001068134817e-07
664,TELEscope,1.5503986257266581e-06
665,TELEscope,5.472000639129674e-07
666,TELEscope,3.6480010914819266e-07
667,TELEscope,0.0017296219749937704
668,TELEscope,3.4655902908022415e-06
669,TELEscope,3.9214488203050795e-05
670,TELEscope,1.824000878438823e-07
671,TELEscope,2.5079387661670853e-05
672,TELEscope,5.289575532539417e-06
673,TELEscope,5.015978170463002e-06
674,TELEscope,3.2831914006650834e-06
675,TELEscope,0.00013295200970458483
676,TELEscope,1.650693847727232e-05
677,TELEscope,0.0019112677320442144
678,TELEscope,0.00046344622588044527
679,TELEscope,6.384000163430405e-07
680,TELEscope,2.9183934207738723e-06
681,TELEscope,1.869566287980695e-05
682,TELEscope,1.1855993815913625e-06
683,TELEscope,1.2767992175774395e-06
684,TELEscope,0.00010286308640508377
685,TELEscope,6.0097228013078034e-05
686,TELEscope,2.9183934207738723e-06
687,TELEscope,1.869566287980695e-05
688,TELEscope,2.6994489202705905e-05
689,TELEscope,6.2015656582100114e-06
690,TELEscope,4.560000948480197e-07
691,TELEscope,9.120005223938992e-08
692,TELEscope,1.1855993815913625e-06
693,TELEscope,2.736001068134817e-07
694,TELEscope,7.514320297355515e-05
695,TELEscope,0.001997115277931876
696,TELEscope,6.475162371536426e-06
697,TELEscope,1.0214302449325888e-05
698,TELEscope,0.0
699,TELEscope,0.00010286308640508377
700,TELEscope,5.472000639129674e-07
701,TELEscope,1.869566287980695e-05
702,TELEscope,0.0
703,TELEscope,1.9151976037047583e-06
704,TELEscope,2.462395571627804e-06
705,TELEscope,4.3135767868649856e-05
706,TELEscope,0.00028883834015327943
707,TELEscope,3.5567897109187243e-06
708,TELEscope,4.560000948480197e-07
709,TELEscope,1.824000878438823e-07
710,TELEscope,2.9639141176245277e-05
711,TELEscope,0.0
712,TELEscope,1.3862217040914608e-05
713,TELEscope,2.644794761190537e-06
714,TELEscope,3.6480010914819266e-07
715,TELEscope,1.0031996597146755e-06
716,TELEscope,2.553595174726558e-06
717,TELEscope,0.000102498361074916
718,TELEscope,7.478349039538305e-06
719,TELEscope,6.384000163430405e-07
720,TELEscope,8.535597041759041e-05
721,TELEscope,8.116739507563799e-06
722,TELEscope,2.316427878519591e-05
723,TELEscope,1.824000878438823e-07
724,TELEscope,2.736001068134817e-07
725,TELEscope,2.9365557138032802e-05
726,TELEscope,0.0001015865465854108
727,TELEscope,3.6480010914819266e-07
728,TELEscope,7.934342314157638e-06
729,TELEscope,9.484716337214133e-06
730,TELEscope,0.0
731,TELEscope,1.0579095106156203e-05
732,TELEscope,0.0
733,TELEscope,1.824000878438823e-07
734,TELEscope,4.468782997174453e-06
735,TELEscope,9.11999773824056e-07
736,TELEscope,8.581189267111721e-05
737,TELEscope,6.292764579286736e-06
738,TELEscope,4.47772246437794e-05
739,TELEscope,0.00010286308640508377
740,TELEscope,9.11999773824056e-07
741,TELEscope,6.839957756420896e-06
742,TELEscope,2.279996315525954e-06
743,TELEscope,0.00012027841123799769
744,TELEscope,5.472000639129674e-07
745,TELEscope,3.593153273795817e-05
