,Method,FNR
376,ERVmap,0.0
377,ERVmap,0.0
378,ERVmap,0.04753102378490176
379,ERVmap,0.025757575757575757
380,ERVmap,0.010416666666666666
381,ERVmap,0.03213058419243986
382,ERVmap,0.021333333333333333
383,ERVmap,0.0
384,ERVmap,0.015384615384615385
385,ERVmap,0.425
386,ERVmap,0.19615384615384615
387,ERVmap,0.0
388,ERVmap,0.09716471647164716
389,ERVmap,0.08694598928656727
390,ERVmap,0.06269035532994924
391,ERVmap,0.03036723163841808
392,ERVmap,0.08461538461538462
393,ERVmap,0.04667481662591687
394,ERVmap,0.06818181818181818
395,ERVmap,0.031938514090520925
396,ERVmap,0.0
397,ERVmap,0.31333333333333335
398,ERVmap,0.0
399,ERVmap,0.06259036144578313
400,ERVmap,0.06797676008202325
401,ERVmap,0.0
402,ERVmap,0.075
403,ERVmap,0.03636363636363636
404,ERVmap,0.18783783783783783
405,ERVmap,0.0
406,ERVmap,0.0
407,ERVmap,0.0
408,ERVmap,0.013333333333333334
409,ERVmap,0.08611111111111111
410,ERVmap,0.0
411,ERVmap,0.048215244229736984
412,ERVmap,0.0
413,ERVmap,0.0
414,ERVmap,0.05
415,ERVmap,0.0
416,ERVmap,0.020370370370370372
417,ERVmap,0.05
418,ERVmap,0.029166666666666667
419,ERVmap,0.9827777777777778
420,ERVmap,0.10270528325907066
421,ERVmap,0.0
422,ERVmap,0.0
423,ERVmap,0.9818181818181818
424,ERVmap,0.017619047619047618
425,ERVmap,0.0
426,ERVmap,0.0
427,ERVmap,0.05
428,ERVmap,0.0
429,ERVmap,0.0
430,ERVmap,0.06668399168399168
431,ERVmap,0.3082191780821918
432,ERVmap,0.9764705882352941
433,ERVmap,0.047248169654127745
434,ERVmap,0.008333333333333333
435,ERVmap,0.0
436,ERVmap,0.38
437,ERVmap,0.059923664122137406
438,ERVmap,0.004166666666666667
439,ERVmap,0.3836538461538462
440,ERVmap,0.1680379746835443
441,ERVmap,0.14086378737541527
442,ERVmap,0.0
443,ERVmap,0.0
444,ERVmap,0.0
445,ERVmap,0.0
446,ERVmap,0.03
447,ERVmap,0.0
448,ERVmap,0.09642857142857143
449,ERVmap,0.0
450,ERVmap,0.846551724137931
451,ERVmap,0.034375
452,ERVmap,0.045454545454545456
453,ERVmap,0.0
454,ERVmap,0.0
455,ERVmap,0.0
456,ERVmap,0.097828447339848
457,ERVmap,0.03571428571428571
458,ERVmap,0.08381717850287908
459,ERVmap,0.04753694581280788
460,ERVmap,0.0
461,ERVmap,0.0
462,ERVmap,0.0
463,ERVmap,0.15268361581920903
464,ERVmap,0.9555555555555556
465,ERVmap,0.37115384615384617
466,ERVmap,0.11391050583657587
467,ERVmap,0.0
468,ERVmap,0.032559158632778265
469,ERVmap,0.0
470,ERVmap,0.05618336886993604
471,ERVmap,0.0
472,ERVmap,0.05
473,ERVmap,0.0
474,ERVmap,0.05
475,ERVmap,0.01
476,ERVmap,0.025
477,ERVmap,0.37191011235955057
478,ERVmap,0.0
479,ERVmap,0.0
480,ERVmap,0.0862606184736259
481,ERVmap,0.008333333333333333
482,ERVmap,0.088125
483,ERVmap,0.05070298769771529
484,ERVmap,0.028125
485,ERVmap,0.9638888888888889
486,ERVmap,0.00625
487,ERVmap,0.0
488,ERVmap,0.0
489,ERVmap,0.16323529411764706
490,ERVmap,0.0
491,ERVmap,0.09564504850974564
492,ERVmap,0.0
493,ERVmap,0.0
494,ERVmap,0.0
495,ERVmap,0.17955465587044533
496,ERVmap,0.0
497,ERVmap,0.0
498,ERVmap,0.025
499,ERVmap,0.0038461538461538464
500,ERVmap,0.0033333333333333335
501,ERVmap,0.1875
502,ERVmap,0.0
503,ERVmap,0.04760229345843107
504,ERVmap,0.0
505,ERVmap,0.035
506,ERVmap,0.1461764705882353
507,ERVmap,0.0
508,ERVmap,0.02721518987341772
509,ERVmap,1.0
510,ERVmap,0.12
511,ERVmap,0.05357142857142857
512,ERVmap,0.004545454545454545
513,ERVmap,0.03
514,ERVmap,0.0
515,ERVmap,1.0
516,ERVmap,0.0
517,ERVmap,0.0
518,ERVmap,0.02727272727272727
519,ERVmap,0.05588235294117647
520,ERVmap,0.0
521,ERVmap,0.0
522,ERVmap,0.0
523,ERVmap,0.019230769230769232
524,ERVmap,0.0
525,ERVmap,0.034375
526,ERVmap,0.04782608695652174
527,ERVmap,0.02318840579710145
528,ERVmap,0.007738095238095238
529,ERVmap,0.020833333333333332
530,ERVmap,0.006666666666666667
531,ERVmap,0.809375
532,ERVmap,0.0
533,ERVmap,0.12108753315649867
534,ERVmap,0.0
535,ERVmap,0.0
536,ERVmap,0.1354251012145749
537,ERVmap,0.05416666666666667
538,ERVmap,0.1726315789473684
539,ERVmap,0.0
540,ERVmap,0.09147839950227477
541,ERVmap,0.178
542,ERVmap,0.08900437838036719
543,ERVmap,0.017289719626168223
544,ERVmap,0.03235294117647059
545,ERVmap,0.06956521739130435
546,ERVmap,0.0
547,ERVmap,0.04
548,ERVmap,0.04742254951752158
549,ERVmap,0.0
550,ERVmap,0.0
551,ERVmap,0.0
552,ERVmap,0.34858934169279
553,ERVmap,0.0
554,ERVmap,0.0
555,ERVmap,0.2669354838709677
556,ERVmap,0.0
557,ERVmap,0.0
558,ERVmap,0.0
559,ERVmap,0.034375
560,ERVmap,0.05909090909090909
561,ERVmap,0.16666666666666666
562,ERVmap,0.06073619631901841
563,ERVmap,0.06081560283687943
564,ERVmap,0.09
565,ERVmap,0.0
566,ERVmap,0.00909090909090909
567,ERVmap,0.03162393162393162
568,ERVmap,0.07
569,ERVmap,0.052349914236706686
570,ERVmap,0.1302863436123348
571,ERVmap,0.9720588235294118
572,ERVmap,0.06
573,ERVmap,0.050597296447657966
574,ERVmap,0.019318181818181818
575,ERVmap,0.0125
576,ERVmap,0.0
577,ERVmap,0.125
578,ERVmap,0.026470588235294117
579,ERVmap,0.10555555555555556
580,ERVmap,0.0
581,ERVmap,0.09545454545454546
582,ERVmap,0.0
583,ERVmap,0.0
584,ERVmap,0.0
585,ERVmap,0.011538461538461539
586,ERVmap,0.1
587,ERVmap,0.04579098541758728
588,ERVmap,0.7147058823529412
589,ERVmap,0.0
590,ERVmap,0.0
591,ERVmap,0.0
592,ERVmap,0.05
593,ERVmap,0.02375
594,ERVmap,0.03271604938271605
595,ERVmap,0.025
596,ERVmap,0.056666666666666664
597,ERVmap,0.0
598,ERVmap,0.10555555555555556
599,ERVmap,0.0
600,ERVmap,0.0
601,ERVmap,0.0
602,ERVmap,0.0
603,ERVmap,0.015413533834586466
604,ERVmap,0.04
605,ERVmap,0.056451612903225805
606,ERVmap,0.05917573872472784
607,ERVmap,0.07272727272727272
608,ERVmap,0.1264705882352941
609,ERVmap,0.0
610,ERVmap,0.325
611,ERVmap,0.03333333333333333
612,TELEscope,0.2309974689720367
613,TELEscope,0.05123076923076923
614,TELEscope,0.21459064694082247
615,TELEscope,0.6834567901234568
616,TELEscope,0.0
617,TELEscope,0.30833333333333335
618,TELEscope,0.17067055393586006
619,TELEscope,0.06666666666666667
620,TELEscope,0.13320632670240573
621,TELEscope,0.06405529953917051
622,TELEscope,0.13261203736549604
623,TELEscope,0.5519379844961241
624,TELEscope,0.0
625,TELEscope,0.0
626,TELEscope,0.23028878441907322
627,TELEscope,0.02608695652173913
628,TELEscope,0.19494298463063955
629,TELEscope,0.05714285714285714
630,TELEscope,0.0
631,TELEscope,0.0
632,TELEscope,0.011111111111111112
633,TELEscope,0.5216494845360825
634,TELEscope,0.039285714285714285
635,TELEscope,0.04838709677419355
636,TELEscope,0.49682959048877146
637,TELEscope,0.0
638,TELEscope,0.675
639,TELEscope,0.2297127139364303
640,TELEscope,0.09185185185185185
641,TELEscope,0.18092989466037052
642,TELEscope,0.4014577259475219
643,TELEscope,0.125
644,TELEscope,0.0
645,TELEscope,0.025
646,TELEscope,0.075
647,TELEscope,0.0
648,TELEscope,0.625
649,TELEscope,0.05132743362831858
650,TELEscope,0.29690402476780187
651,TELEscope,0.1332443082311734
652,TELEscope,0.16863871338311315
653,TELEscope,0.5
654,TELEscope,0.0
655,TELEscope,0.0
656,TELEscope,0.1774326347305389
657,TELEscope,0.3
658,TELEscope,0.0
659,TELEscope,0.15366700932260466
660,TELEscope,0.1
661,TELEscope,0.16815578465063002
662,TELEscope,0.0
663,TELEscope,0.05555555555555555
664,TELEscope,0.0
665,TELEscope,0.025
666,TELEscope,0.016666666666666666
667,TELEscope,0.1357007002680038
668,TELEscope,0.0
669,TELEscope,0.37323420074349445
670,TELEscope,0.0
671,TELEscope,0.0
672,TELEscope,0.0
673,TELEscope,0.0
674,TELEscope,0.0
675,TELEscope,0.17590924257590923
676,TELEscope,0.0
677,TELEscope,0.13415169330131654
678,TELEscope,0.1716589861751152
679,TELEscope,0.0
680,TELEscope,0.0
681,TELEscope,0.16188418323249784
682,TELEscope,0.0125
683,TELEscope,0.0
684,TELEscope,0.05124095139607032
685,TELEscope,0.017424242424242425
686,TELEscope,0.030208333333333334
687,TELEscope,0.1629725085910653
688,TELEscope,0.013333333333333334
689,TELEscope,0.0
690,TELEscope,0.0
691,TELEscope,0.5
692,TELEscope,0.08076923076923077
693,TELEscope,0.007692307692307693
694,TELEscope,0.22916291629162916
695,TELEscope,0.17011156982496844
696,TELEscope,0.09593908629441625
697,TELEscope,0.02344632768361582
698,TELEscope,0.6384615384615384
699,TELEscope,0.04965770171149144
700,TELEscope,0.045454545454545456
701,TELEscope,0.1632792485055508
702,TELEscope,0.1
703,TELEscope,0.11
704,TELEscope,0.0
705,TELEscope,0.05831325301204819
706,TELEscope,0.07103554340396445
707,TELEscope,0.0
708,TELEscope,0.1
709,TELEscope,0.045454545454545456
710,TELEscope,0.24081081081081082
711,TELEscope,0.12
712,TELEscope,0.0
713,TELEscope,0.0
714,TELEscope,0.013333333333333334
715,TELEscope,0.2777777777777778
716,TELEscope,0.0
717,TELEscope,0.05198604401502952
718,TELEscope,0.0
719,TELEscope,0.0
720,TELEscope,0.0540763968072976
721,TELEscope,0.0
722,TELEscope,0.024074074074074074
723,TELEscope,0.041666666666666664
724,TELEscope,0.008333333333333333
725,TELEscope,0.7644444444444445
726,TELEscope,0.19261616804583068
727,TELEscope,0.0
728,TELEscope,0.0
729,TELEscope,0.8151515151515152
730,TELEscope,0.20095238095238097
731,TELEscope,0.0
732,TELEscope,0.04
733,TELEscope,0.008333333333333333
734,TELEscope,0.0
735,TELEscope,0.0
736,TELEscope,0.20041580041580043
737,TELEscope,0.7408219178082192
738,TELEscope,0.711764705882353
739,TELEscope,0.0506185306740722
740,TELEscope,0.0
741,TELEscope,0.0
742,TELEscope,0.175
743,TELEscope,0.056106870229007635
744,TELEscope,0.016666666666666666
745,TELEscope,0.24423076923076922
746,TELEscope,0.22784810126582278
747,TELEscope,0.4461794019933555
748,TELEscope,0.0
749,TELEscope,0.0
750,TELEscope,0.0
751,TELEscope,0.0
752,TELEscope,0.02
753,TELEscope,0.0
754,TELEscope,0.07857142857142857
755,TELEscope,0.07857142857142857
756,TELEscope,0.6310344827586207
757,TELEscope,0.00625
758,TELEscope,0.045454545454545456
759,TELEscope,0.0
760,TELEscope,0.06666666666666667
761,TELEscope,0.0
762,TELEscope,0.18063698878031126
763,TELEscope,0.014285714285714285
764,TELEscope,0.17236084452975048
765,TELEscope,0.05117967332123412
766,TELEscope,0.0
767,TELEscope,0.0
768,TELEscope,0.0
769,TELEscope,0.20875706214689266
770,TELEscope,0.5944444444444444
771,TELEscope,0.9153846153846154
